"filename", "language", "Markdown", "C++", "XMake", "YAML", "comment", "blank", "total"
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\.clang-format", "YAML", 0, 0, 0, 175, 1, 1, 177
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\requirement.md", "Markdown", 8, 0, 0, 0, 0, 6, 14
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\src\Module\Compressor.hpp", "C++", 0, 113, 0, 0, 20, 21, 154
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\src\Module\Scanner.hpp", "C++", 0, 76, 0, 0, 11, 17, 104
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\src\Module\Unwrapper.hpp", "C++", 0, 117, 0, 0, 16, 19, 152
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\src\TaskManager.hpp", "C++", 0, 19, 0, 0, 10, 7, 36
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\src\Utility\FileManager.hpp", "C++", 0, 60, 0, 0, 16, 12, 88
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\src\Utility\HuffmanTree.hpp", "C++", 0, 229, 0, 0, 26, 22, 277
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\src\main.cpp", "C++", 0, 5, 0, 0, 10, 3, 18
"e:\CollegeLearningRepo\DS_CurriculumDesign\HuffmanCompress\xmake.lua", "XMake", 0, 0, 5, 0, 68, 4, 77
"Total", "-", 8, 619, 5, 175, 178, 112, 1097
